Year,Month,LF,E,U,UR,County,ER,State
2016,Jan,6991,6342,649,9.3,Aitkin,90.71663567443856,MN
2016,Feb,7047,6407,640,9.1,Aitkin,90.91812118632042,MN
2016,Mar,7067,6371,696,9.8,Aitkin,90.15140795245507,MN
2016,Apr,7042,6511,531,7.5,Aitkin,92.45952854302755,MN
2016,May,7052,6665,387,5.5,Aitkin,94.51219512195121,MN
2016,Jun,7086,6657,429,6.1,Aitkin,93.94580863674852,MN
2016,Jul,7023,6620,403,5.7,Aitkin,94.26171151929374,MN
2016,Aug,6952,6566,386,5.6,Aitkin,94.44764096662831,MN
2016,Sep,6911,6556,355,5.1,Aitkin,94.86326146722615,MN
2016,Oct,6976,6619,357,5.1,Aitkin,94.88245412844036,MN
2016,Nov,7018,6555,463,6.6,Aitkin,93.40267882587632,MN
2016,Dec,7124,6501,623,8.7,Aitkin,91.25491297024143,MN
2017,Jan,7288,6587,701,9.6,Aitkin,90.3814489571899,MN
2017,Feb,7305,6649,656,9,Aitkin,91.01984941820672,MN
2017,Mar,7342,6692,650,8.9,Aitkin,91.14682647779897,MN
2017,Apr,7158,6649,509,7.1,Aitkin,92.8890751606594,MN
2017,May,7177,6812,365,5.1,Aitkin,94.91430960011147,MN
2017,Jun,7257,6894,363,5,Aitkin,94.99793303017776,MN
2017,Jul,7170,6844,326,4.5,Aitkin,95.45327754532775,MN
2017,Aug,7106,6796,310,4.4,Aitkin,95.63748944553898,MN
2017,Sep,7128,6855,273,3.8,Aitkin,96.17003367003367,MN
2017,Oct,7122,6868,254,3.6,Aitkin,96.43358607132828,MN
2017,Nov,7225,6773,452,6.3,Aitkin,93.7439446366782,MN
2017,Dec,7249,6670,579,8,Aitkin,92.01269140571114,MN
2018,Jan,7198,6548,650,9,Aitkin,90.9697138093915,MN
2018,Feb,7205,6601,604,8.4,Aitkin,91.61693268563498,MN
2018,Mar,7186,6598,588,8.2,Aitkin,91.8174227664904,MN
2018,Apr,7179,6704,475,6.6,Aitkin,93.38347959325812,MN
2018,May,7221,6910,311,4.3,Aitkin,95.6931172967733,MN
2018,Jun,7333,7012,321,4.4,Aitkin,95.62252829674077,MN
2018,Jul,7205,6907,298,4.1,Aitkin,95.86398334489937,MN
2018,Aug,7070,6811,259,3.7,Aitkin,96.33663366336633,MN
2018,Sep,7024,6804,220,3.1,Aitkin,96.86788154897495,MN
2018,Oct,7180,6943,237,3.3,Aitkin,96.6991643454039,MN
2018,Nov,7221,6800,421,5.8,Aitkin,94.16978257859022,MN
2018,Dec,7352,6754,598,8.1,Aitkin,91.86615886833515,MN
2019,Jan,7358,6616,742,10.1,Aitkin,89.91573797227508,MN
2019,Feb,7283,6630,653,9,Aitkin,91.03391459563368,MN
2019,Mar,7290,6662,628,8.6,Aitkin,91.38545953360769,MN
2019,Apr,7216,6712,504,7,Aitkin,93.01552106430155,MN
2019,May,7339,7000,339,4.6,Aitkin,95.38084207657718,MN
2019,Jun,7488,7135,353,4.7,Aitkin,95.2857905982906,MN
2019,Jul,7396,7041,355,4.8,Aitkin,95.20010816657653,MN
2019,Aug,7254,6938,316,4.4,Aitkin,95.64378274055694,MN
2019,Sep,7189,6942,247,3.4,Aitkin,96.56419529837251,MN
2019,Oct,7266,6967,299,4.1,Aitkin,95.88494357280484,MN
2019,Nov,7327,6906,421,5.7,Aitkin,94.25412856557936,MN
2019,Dec,7436,6815,621,8.4,Aitkin,91.64873587950511,MN
2020,Jan,7507,6800,707,9.4,Aitkin,90.58212335153857,MN
2020,Feb,7441,6830,611,8.2,Aitkin,91.78873807283966,MN
2020,Mar,7527,6798,729,9.7,Aitkin,90.3148664806696,MN
2020,Apr,7049,6236,813,11.5,Aitkin,88.46644914172222,MN
2020,May,7283,6361,922,12.7,Aitkin,87.34038171083344,MN
2020,Jun,7724,7006,718,9.3,Aitkin,90.70429829104091,MN
2020,Jul,7733,7137,596,7.7,Aitkin,92.29277124013966,MN
2020,Aug,7780,7299,481,6.2,Aitkin,93.81748071979435,MN
2020,Sep,7623,7200,423,5.5,Aitkin,94.45100354191264,MN
2020,Oct,7617,7238,379,5,Aitkin,95.02428777734015,MN
2020,Nov,7538,7095,443,5.9,Aitkin,94.12310957813743,MN
2020,Dec,7316,6711,605,8.3,Aitkin,91.73045379989065,MN
2021,Jan,7307,6654,653,8.9,Aitkin,91.06336389763241,MN
2021,Feb,7342,6770,572,7.8,Aitkin,92.20920730046309,MN
2021,Mar,7298,6756,542,7.4,Aitkin,92.57330775554946,MN
2021,Apr,7298,6875,423,5.8,Aitkin,94.20389147711703,MN
2021,May,7428,7117,311,4.2,Aitkin,95.8131394722671,MN
2021,Jun,7563,7217,346,4.6,Aitkin,95.42509586143065,MN
2021,Jul,7515,7240,275,3.7,Aitkin,96.34065202927479,MN
2021,Aug,7456,7177,279,3.7,Aitkin,96.25804721030042,MN
2021,Sep,7439,7202,237,3.2,Aitkin,96.81408791504235,MN
2021,Oct,7444,7219,225,3,Aitkin,96.97743148844708,MN
2021,Nov,7449,7187,262,3.5,Aitkin,96.48274936233051,MN
2021,Dec,7449,7056,393,5.3,Aitkin,94.72412404349578,MN
2022,Jan,7396,6905,491,6.6,Aitkin,93.36127636560303,MN
2022,Feb,7430,6986,444,6,Aitkin,94.0242261103634,MN
2022,Mar,7427,7012,415,5.6,Aitkin,94.41227952066782,MN
2022,Apr,7346,7029,317,4.3,Aitkin,95.68472638170434,MN
2022,May,7465,7208,257,3.4,Aitkin,96.55726724715338,MN
2022,Jun,7563,7310,253,3.3,Aitkin,96.65476662699987,MN
2022,Jul,7465,7244,221,3,Aitkin,97.03951774949765,MN
2022,Aug,7523,7281,242,3.2,Aitkin,96.78319819221055,MN
2022,Sep,7414,7209,205,2.8,Aitkin,97.23496088481252,MN
2022,Oct,7351,7133,218,3,Aitkin,97.03441708611074,MN
2022,Nov,7311,6999,312,4.3,Aitkin,95.73245794009027,MN
2022,Dec,7390,6923,467,6.3,Aitkin,93.680649526387,MN
2023,Jan,7558,7029,529,7,Aitkin,93.00079386080974,MN
2023,Feb,7576,7033,543,7.2,Aitkin,92.8326293558606,MN
2023,Mar,7555,7055,500,6.6,Aitkin,93.38186631369953,MN
2023,Apr,7494,7070,424,5.7,Aitkin,94.34214037896984,MN
2023,May,7588,7257,331,4.4,Aitkin,95.6378492356352,MN
2023,Jun,7697,7366,331,4.3,Aitkin,95.6996232298298,MN
2023,Jul,7538,7257,281,3.7,Aitkin,96.27222074820907,MN
2023,Aug,7524,7241,283,3.8,Aitkin,96.23870281765019,MN
2023,Sep,7419,7211,208,2.8,Aitkin,97.19638765332255,MN
2023,Oct,7420,7204,216,2.9,Aitkin,97.088948787062,MN
2023,Nov,7399,7127,272,3.7,Aitkin,96.32382754426274,MN
2023,Dec,7404,7014,390,5.3,Aitkin,94.73257698541329,MN
2024,Jan,7446,6961,485,6.5,Aitkin,93.48643567015847,MN
2024,Feb,7498,6973,525,7,Aitkin,92.99813283542278,MN
2024,Mar,7541,7054,487,6.5,Aitkin,93.54197056093356,MN
2024,Apr,7487,7101,386,5.2,Aitkin,94.84439695472152,MN
2024,May,7556,7175,381,5,Aitkin,94.95764955002647,MN
2024,Jun,7580,7203,377,5,Aitkin,95.0263852242744,MN
2024,Jul,7510,7132,378,5,Aitkin,94.96671105193076,MN
2024,Aug,7547,7194,353,4.7,Aitkin,95.32264475950709,MN
2024,Sep,7448,7199,249,3.3,Aitkin,96.65682062298603,MN
2024,Oct,7480,7235,245,3.3,Aitkin,96.72459893048129,MN
2016,Jan,189284,181315,7969,4.2,Anoka,95.78992413516197,MN
2016,Feb,191110,183146,7964,4.2,Anoka,95.83276646957249,MN
2016,Mar,190875,182727,8148,4.3,Anoka,95.73123772102161,MN
2016,Apr,191387,184729,6658,3.5,Anoka,96.5211848244656,MN
2016,May,191560,185450,6110,3.2,Anoka,96.81039883065358,MN
2016,Jun,192185,184704,7481,3.9,Anoka,96.1073965189791,MN
2016,Jul,194441,187256,7185,3.7,Anoka,96.30479168488128,MN
2016,Aug,193454,186294,7160,3.7,Anoka,96.29886174491094,MN
2016,Sep,192863,186061,6802,3.5,Anoka,96.47314414895548,MN
2016,Oct,191576,184991,6585,3.4,Anoka,96.56272184407233,MN
2016,Nov,191261,184996,6265,3.3,Anoka,96.72437140870329,MN
2016,Dec,191452,184024,7428,3.9,Anoka,96.12017633662747,MN
2017,Jan,193130,184723,8407,4.4,Anoka,95.6469735411381,MN
2017,Feb,194688,186459,8229,4.2,Anoka,95.77323717948718,MN
2017,Mar,195429,187617,7812,4,Anoka,96.00264034508696,MN
2017,Apr,195534,189048,6486,3.3,Anoka,96.68292982294639,MN
2017,May,195605,189478,6127,3.1,Anoka,96.86766698192787,MN
2017,Jun,197715,190642,7073,3.6,Anoka,96.42262853096629,MN
2017,Jul,199155,192455,6700,3.4,Anoka,96.63578619668097,MN
2017,Aug,197888,191275,6613,3.3,Anoka,96.65821070504528,MN
2017,Sep,197867,192158,5709,2.9,Anoka,97.11472858030899,MN
2017,Oct,195381,190372,5009,2.6,Anoka,97.43629114396998,MN
2017,Nov,196124,190873,5251,2.7,Anoka,97.32261222491893,MN
2017,Dec,195917,189716,6201,3.2,Anoka,96.83488416012904,MN
2018,Jan,195807,188982,6825,3.5,Anoka,96.51442491841456,MN
2018,Feb,197468,190624,6844,3.5,Anoka,96.5341219843215,MN
2018,Mar,196546,189781,6765,3.4,Anoka,96.55805765571418,MN
2018,Apr,195598,190153,5445,2.8,Anoka,97.2162292047976,MN
2018,May,195980,191245,4735,2.4,Anoka,97.58393713644249,MN
2018,Jun,197833,191854,5979,3,Anoka,96.97775396420212,MN
2018,Jul,198543,193168,5375,2.7,Anoka,97.29277788690611,MN
2018,Aug,197192,191910,5282,2.7,Anoka,97.32139234857398,MN
2018,Sep,196507,191726,4781,2.4,Anoka,97.56700779107106,MN
2018,Oct,196601,191929,4672,2.4,Anoka,97.62361330817238,MN
2018,Nov,197218,192559,4659,2.4,Anoka,97.63763956636818,MN
2018,Dec,197850,191571,6279,3.2,Anoka,96.82638362395754,MN
2019,Jan,198776,191170,7606,3.8,Anoka,96.17358232382179,MN
2019,Feb,199405,192296,7109,3.6,Anoka,96.43489380908203,MN
2019,Mar,199014,191706,7308,3.7,Anoka,96.32789652989237,MN
2019,Apr,198145,192411,5734,2.9,Anoka,97.10615963057357,MN
2019,May,198495,192873,5622,2.8,Anoka,97.16768684349731,MN
2019,Jun,200896,194141,6755,3.4,Anoka,96.63756371455877,MN
2019,Jul,201482,195198,6284,3.1,Anoka,96.88111096772913,MN
2019,Aug,201109,195056,6053,3,Anoka,96.99018939977823,MN
2019,Sep,200354,195099,5255,2.6,Anoka,97.3771424578496,MN
2019,Oct,200139,194790,5349,2.7,Anoka,97.32735748654684,MN
2019,Nov,200551,195225,5326,2.7,Anoka,97.34431640829516,MN
2019,Dec,201204,194960,6244,3.1,Anoka,96.89668197451343,MN
2020,Jan,202713,195646,7067,3.5,Anoka,96.513790432779345,MN
2020,Feb,203535,196534,7001,3.4,Anoka,96.56029675485789,MN
2020,Mar,202852,193708,9144,4.5,Anoka,95.49228008597402,MN
2020,Apr,192717,175167,17550,9.1,Anoka,90.89338252463457,MN
2020,May,196202,172867,23335,11.9,Anoka,88.10664519219988,MN
2020,Jun,203920,184246,19674,9.6,Anoka,90.35209886229894,MN
2020,Jul,205308,187719,17589,8.6,Anoka,91.43287158805306,MN
2020,Aug,204346,190879,13467,6.6,Anoka,93.4097070654674,MN
2020,Sep,202176,190074,12102,6,Anoka,94.01412630579298,MN
2020,Oct,201102,191180,9922,4.9,Anoka,95.0661853188929,MN
2020,Nov,199927,191410,8517,4.3,Anoka,95.73994507995418,MN
2020,Dec,197098,186925,10173,5.2,Anoka,94.83860820505535,MN
2021,Jan,194581,184669,9912,5.1,Anoka,94.90597745925862,MN
2021,Feb,194745,185591,9154,4.7,Anoka,95.29949421037767,MN
2021,Mar,195035,186130,8905,4.6,Anoka,95.43415284436126,MN
2021,Apr,195390,187460,7930,4.1,Anoka,95.9414504324684,MN
2021,May,195306,188094,7212,3.7,Anoka,96.30733310804584,MN
2021,Jun,196106,187627,8479,4.3,Anoka,95.6763179097019,MN
2021,Jul,196870,189616,7254,3.7,Anoka,96.31533499263473,MN
2021,Aug,195527,188534,6993,3.6,Anoka,96.42351184235424,MN
2021,Sep,194524,188343,6181,3.2,Anoka,96.82250005140753,MN
2021,Oct,194963,189622,5341,2.7,Anoka,97.26050583956956,MN
2021,Nov,196028,191428,4600,2.3,Anoka,97.65339645356785,MN
2021,Dec,196148,190840,5308,2.7,Anoka,97.2938801313294,MN
2022,Jan,196538,190078,6460,3.3,Anoka,96.7131038272497,MN
2022,Feb,196825,191042,5783,2.9,Anoka,97.06185697955037,MN
2022,Mar,197268,191676,5592,2.8,Anoka,97.16527769329034,MN
2022,Apr,197843,193736,4107,2.1,Anoka,97.92411154299116,MN
2022,May,198687,194573,4114,2.1,Anoka,97.92940655402718,MN
2022,Jun,199003,193692,5311,2.7,Anoka,97.33119601212043,MN
2022,Jul,199521,194670,4851,2.4,Anoka,97.56867698137039,MN
2022,Aug,199434,194204,5230,2.6,Anoka,97.37757854728882,MN
2022,Sep,198476,194073,4403,2.2,Anoka,97.78159575968883,MN
2022,Oct,196860,192576,4284,2.2,Anoka,97.82383419689118,MN
2022,Nov,196846,192520,4326,2.2,Anoka,97.80234294829461,MN
2022,Dec,197583,192145,5438,2.8,Anoka,97.24773892490751,MN
2023,Jan,197730,191696,6034,3.1,Anoka,96.94836393061244,MN
2023,Feb,198558,192166,6392,3.2,Anoka,96.78078949223904,MN
2023,Mar,199590,193314,6276,3.1,Anoka,96.85555388546521,MN
2023,Apr,199764,194460,5304,2.7,Anoka,97.34486694299274,MN
2023,May,200612,195367,5245,2.6,Anoka,97.38550036887126,MN
2023,Jun,202938,196272,6666,3.3,Anoka,96.71525293439376,MN
2023,Jul,202653,196623,6030,3,Anoka,97.02447040014212,MN
2023,Aug,201082,194589,6493,3.2,Anoka,96.77096905739947,MN
2023,Sep,199552,194835,4717,2.4,Anoka,97.6362050994227,MN
2023,Oct,198618,194145,4473,2.3,Anoka,97.74793825333052,MN
2023,Nov,198272,194627,3645,1.8,Anoka,98.16161636539704,MN
2023,Dec,197480,192623,4857,2.5,Anoka,97.54051043143609,MN
2024,Jan,198455,192246,6209,3.1,Anoka,96.87133103222394,MN
2024,Feb,199862,192820,7042,3.5,Anoka,96.47656883249442,MN
2024,Mar,199818,193559,6259,3.1,Anoka,96.8676495611006,MN
2024,Apr,199533,194283,5250,2.6,Anoka,97.36885627941243,MN
2024,May,198837,193595,5242,2.6,Anoka,97.3636697395354,MN
2024,Jun,199135,191244,7891,4,Anoka,96.03736158887187,MN
2024,Jul,199544,191583,7961,4,Anoka,96.0104037204827,MN
2024,Aug,198405,190138,8267,4.2,Anoka,95.83327033088884,MN
2024,Sep,197116,191207,5909,3,Anoka,97.00227277339232,MN
2024,Oct,197417,192061,5356,2.7,Anoka,97.2869611026406,MN
2016,Jan,18700,17547,1153,6.2,Becker,93.83422459893048,MN
2016,Feb,18588,17469,1119,6,Becker,93.97998708844416,MN
2016,Mar,18757,17576,1181,6.3,Becker,93.70368395798901,MN
2016,Apr,18433,17622,811,4.4,Becker,95.6002821027505,MN
2016,May,18417,17767,650,3.5,Becker,96.47065211489385,MN
2016,Jun,18828,18027,801,4.3,Becker,95.74569789674953,MN
2016,Jul,18423,17674,749,4.1,Becker,95.93442978885089,MN
2016,Aug,19407,18704,703,3.6,Becker,96.3775957128871,MN
2016,Sep,18078,17409,669,3.7,Becker,96.29936939926984,MN
2016,Oct,18228,17620,608,3.3,Becker,96.6644722405091,MN
2016,Nov,18291,17578,713,3.9,Becker,96.10190804220655,MN
2016,Dec,18419,17399,1020,5.5,Becker,94.46224007818014,MN
2017,Jan,18498,17304,1194,6.5,Becker,93.54524813493352,MN
2017,Feb,18488,17376,1112,6,Becker,93.98528775421894,MN
2017,Mar,18518,17466,1052,5.7,Becker,94.31904093314613,MN
2017,Apr,18322,17550,772,4.2,Becker,95.78648619146381,MN
2017,May,18459,17852,607,3.3,Becker,96.71163118262093,MN
2017,Jun,18918,18230,688,3.6,Becker,96.36325192937943,MN
2017,Jul,18678,18015,663,3.5,Becker,96.45036941856729,MN
2017,Aug,19292,18657,635,3.3,Becker,96.70848019904624,MN
2017,Sep,18781,18261,520,2.8,Becker,97.23124434268676,MN
2017,Oct,18500,18022,478,2.6,Becker,97.41621621621621,MN
2017,Nov,18595,17834,761,4.1,Becker,95.90750201667116,MN
2017,Dec,18750,17805,945,5,Becker,94.96,MN
2018,Jan,18271,17230,1041,5.7,Becker,94.3024464999179,MN
2018,Feb,18350,17386,964,5.3,Becker,94.7465940054496,MN
2018,Mar,18315,17334,981,5.4,Becker,94.64373464373465,MN
2018,Apr,18544,17801,743,4,Becker,95.99331320103538,MN
2018,May,18938,18429,509,2.7,Becker,97.31228218396873,MN
2018,Jun,19201,18588,613,3.2,Becker,96.8074579448987,MN
2018,Jul,18939,18393,546,2.9,Becker,97.11706003484872,MN
2018,Aug,18826,18329,497,2.6,Becker,97.36003399553809,MN
2018,Sep,18395,17953,442,2.4,Becker,97.59717314487632,MN
2018,Oct,18579,18155,424,2.3,Becker,97.71785349050003,MN
2018,Nov,18551,17980,571,3.1,Becker,96.9219988140801,MN
2018,Dec,18658,17787,871,4.7,Becker,95.33176117483117,MN
2019,Jan,18502,17397,1105,6,Becker,94.02767268403416,MN
2019,Feb,18494,17453,1041,5.6,Becker,94.37114739915648,MN
2019,Mar,18481,17399,1082,5.9,Becker,94.14533845571127,MN
2019,Apr,18682,17885,797,4.3,Becker,95.73386147093458,MN
2019,May,19151,18603,548,2.9,Becker,97.13853062503264,MN
2019,Jun,19483,18798,685,3.5,Becker,96.48411435610532,MN
2019,Jul,19300,18635,665,3.4,Becker,96.55440414507773,MN
2019,Aug,19090,18536,554,2.9,Becker,97.09795704557361,MN
2019,Sep,18916,18435,481,2.5,Becker,97.45717910763375,MN
2019,Oct,18854,18381,473,2.5,Becker,97.49124854142357,MN
2019,Nov,18787,18145,642,3.4,Becker,96.58274338638421,MN
2019,Dec,18936,17970,966,5.1,Becker,94.89860583016477,MN
2020,Jan,18987,17852,1135,6,Becker,94.02222573339654,MN
2020,Feb,19064,17957,1107,5.8,Becker,94.19324381032312,MN
2020,Mar,18882,17654,1228,6.5,Becker,93.49645164707128,MN
2020,Apr,18266,16387,1879,10.3,Becker,89.71312821635826,MN
2020,May,18636,16723,1913,10.3,Becker,89.73492165700793,MN
2020,Jun,19493,17926,1567,8,Becker,91.96121684707332,MN
2020,Jul,19606,18373,1233,6.3,Becker,93.71110884423136,MN
2020,Aug,19333,18378,955,4.9,Becker,95.0602596596493,MN
2020,Sep,19051,18200,851,4.5,Becker,95.53304288488793,MN
2020,Oct,19280,18540,740,3.8,Becker,96.16182572614107,MN
2020,Nov,18967,18172,795,4.2,Becker,95.8085095165287,MN
2020,Dec,18696,17678,1018,5.4,Becker,94.55498502353444,MN
2021,Jan,18962,17799,1163,6.1,Becker,93.86668072988081,MN
2021,Feb,18854,17823,1031,5.5,Becker,94.53166436830381,MN
2021,Mar,18804,17828,976,5.2,Becker,94.80961497553712,MN
2021,Apr,18869,18172,697,3.7,Becker,96.30611055169855,MN
2021,May,19347,18801,546,2.8,Becker,97.177857032098,MN
2021,Jun,19605,18926,679,3.5,Becker,96.53659780668197,MN
2021,Jul,19604,19025,579,3,Becker,97.04652111813915,MN
2021,Aug,19465,18934,531,2.7,Becker,97.27202671461598,MN
2021,Sep,19187,18732,455,2.4,Becker,97.62860269974462,MN
2021,Oct,19147,18730,417,2.2,Becker,97.8221131247715,MN
2021,Nov,18968,18512,456,2.4,Becker,97.59595107549556,MN
2021,Dec,19300,18656,644,3.3,Becker,96.66321243523316,MN
2022,Jan,18897,18090,807,4.3,Becker,95.72948086997937,MN
2022,Feb,18984,18236,748,3.9,Becker,96.0598398651496,MN
2022,Mar,18980,18283,697,3.7,Becker,96.32771338250791,MN
2022,Apr,18969,18471,498,2.6,Becker,97.3746639253519,MN
2022,May,19320,18908,412,2.1,Becker,97.86749482401656,MN
2022,Jun,19798,19285,513,2.6,Becker,97.4088291746641,MN
2022,Jul,19763,19289,474,2.4,Becker,97.60157870768607,MN
2022,Aug,20003,19545,458,2.3,Becker,97.71034344848273,MN
2022,Sep,19434,19067,367,1.9,Becker,98.11155706493774,MN
2022,Oct,19273,18896,377,2,Becker,98.04389560525087,MN
2022,Nov,19120,18668,452,2.4,Becker,97.63598326359832,MN
2022,Dec,19467,18727,740,3.8,Becker,96.19869522782145,MN
2023,Jan,19318,18473,845,4.4,Becker,95.62584118438761,MN
2023,Feb,19305,18445,860,4.5,Becker,95.54519554519555,MN
2023,Mar,19207,18422,785,4.1,Becker,95.91294840422762,MN
2023,Apr,19308,18624,684,3.5,Becker,96.45742697327533,MN
2023,May,19498,19042,456,2.3,Becker,97.66129859472767,MN
2023,Jun,20023,19442,581,2.9,Becker,97.09833691255056,MN
2023,Jul,19522,18973,549,2.8,Becker,97.18778813646142,MN
2023,Aug,20123,19577,546,2.7,Becker,97.28668687571435,MN
2023,Sep,19667,19305,362,1.8,Becker,98.15935323130117,MN
2023,Oct,19410,19067,343,1.8,Becker,98.23286965481711,MN
2023,Nov,19366,18995,371,1.9,Becker,98.08427140349065,MN
2023,Dec,19406,18803,603,3.1,Becker,96.89271359373389,MN
2024,Jan,19402,18575,827,4.3,Becker,95.73755282960519,MN
2024,Feb,19398,18525,873,4.5,Becker,95.49953603464274,MN
2024,Mar,19499,18744,755,3.9,Becker,96.1280065644392,MN
2024,Apr,19511,18974,537,2.8,Becker,97.24770642201835,MN
2024,May,19662,19117,545,2.8,Becker,97.22815583358762,MN
2024,Jun,20157,19470,687,3.4,Becker,96.59175472540556,MN
2024,Jul,19877,19185,692,3.5,Becker,96.51858932434472,MN
2024,Aug,20542,19857,685,3.3,Becker,96.66536851328983,MN
2024,Sep,20052,19574,478,2.4,Becker,97.6161978854977,MN
2024,Oct,19481,19034,447,2.3,Becker,97.70545659873723,MN
2016,Jan,23572,22076,1496,6.3,Beltrami,93.65348718818937,MN
2016,Feb,23739,22282,1457,6.1,Beltrami,93.86242048948988,MN
2016,Mar,24090,22513,1577,6.5,Beltrami,93.45371523453714,MN
2016,Apr,23878,22584,1294,5.4,Beltrami,94.58078566044057,MN
2016,May,23484,22388,1096,4.7,Beltrami,95.33299267586442,MN
2016,Jun,23581,22305,1276,5.4,Beltrami,94.58886391586447,MN
2016,Jul,23561,22403,1158,4.9,Beltrami,95.08509825559187,MN
2016,Aug,23454,22328,1126,4.8,Beltrami,95.19911315767034,MN
2016,Sep,23701,22685,1016,4.3,Beltrami,95.71326104383782,MN
2016,Oct,23640,22671,969,4.1,Beltrami,95.9010152284264,MN
2016,Nov,23571,22551,1020,4.3,Beltrami,95.6726485936108,MN
2016,Dec,23674,22339,1335,5.6,Beltrami,94.3609022556391,MN
2017,Jan,23741,22121,1620,6.8,Beltrami,93.17636156859442,MN
2017,Feb,23930,22412,1518,6.3,Beltrami,93.65649811951525,MN
2017,Mar,23924,22441,1483,6.2,Beltrami,93.80120381207156,MN
2017,Apr,23786,22622,1164,4.9,Beltrami,95.10636508870765,MN
2017,May,23623,22614,1009,4.3,Beltrami,95.72873894086273,MN
2017,Jun,23790,22644,1146,4.8,Beltrami,95.1828499369483,MN
2017,Jul,23757,22691,1066,4.5,Beltrami,95.51290146062213,MN
2017,Aug,23687,22647,1040,4.4,Beltrami,95.60940600329295,MN
2017,Sep,23659,22823,836,3.5,Beltrami,96.4664609662285,MN
2017,Oct,23597,22816,781,3.3,Beltrami,96.69025723608934,MN
2017,Nov,23852,22726,1126,4.7,Beltrami,95.27922186818716,MN
2017,Dec,23847,22608,1239,5.2,Beltrami,94.80437790917097,MN
2018,Jan,23846,22444,1402,5.9,Beltrami,94.12060722972406,MN
2018,Feb,24002,22714,1288,5.4,Beltrami,94.63378051829014,MN
2018,Mar,23934,22588,1346,5.6,Beltrami,94.37620122002173,MN
2018,Apr,24191,23098,1093,4.5,Beltrami,95.48179074862551,MN
2018,May,24140,23226,914,3.8,Beltrami,96.21375310687655,MN
2018,Jun,24306,23297,1009,4.2,Beltrami,95.84876162264462,MN
2018,Jul,24380,23489,891,3.7,Beltrami,96.3453650533224,MN
2018,Aug,24338,23464,874,3.6,Beltrami,96.40890788068042,MN
2018,Sep,24223,23511,712,2.9,Beltrami,97.0606448416794,MN
2018,Oct,24217,23522,695,2.9,Beltrami,97.13011520832472,MN
2018,Nov,24227,23376,851,3.5,Beltrami,96.48739010195236,MN
2018,Dec,24469,23293,1176,4.8,Beltrami,95.19391883607831,MN
2019,Jan,24270,22845,1425,5.9,Beltrami,94.12855377008653,MN
2019,Feb,24409,23125,1284,5.3,Beltrami,94.73964521283133,MN
2019,Mar,24424,23130,1294,5.3,Beltrami,94.70193252538486,MN
2019,Apr,24134,23092,1042,4.3,Beltrami,95.68243971161017,MN
2019,May,24306,23412,894,3.7,Beltrami,96.32189582819058,MN
2019,Jun,24597,23551,1046,4.3,Beltrami,95.74744887587917,MN
2019,Jul,24527,23540,987,4,Beltrami,95.97586333428467,MN
2019,Aug,24675,23748,927,3.8,Beltrami,96.24316109422493,MN
2019,Sep,24663,23907,756,3.1,Beltrami,96.93467947938207,MN
2019,Oct,24659,23871,788,3.2,Beltrami,96.80441218216473,MN
2019,Nov,24680,23686,994,4,Beltrami,95.97244732576985,MN
2019,Dec,24803,23551,1252,5,Beltrami,94.95222352134822,MN
2020,Jan,24715,23302,1413,5.7,Beltrami,94.28282419583249,MN
2020,Feb,24841,23528,1313,5.3,Beltrami,94.71438347892597,MN
2020,Mar,24845,23251,1594,6.4,Beltrami,93.5842221775005,MN
2020,Apr,23662,21440,2222,9.4,Beltrami,90.6094159411715,MN
2020,May,24590,22057,2533,10.3,Beltrami,89.69906466043108,MN
2020,Jun,25655,23594,2061,8,Beltrami,91.96647826934321,MN
2020,Jul,25790,23925,1865,7.2,Beltrami,92.76851492826677,MN
2020,Aug,25858,24484,1374,5.3,Beltrami,94.6863639879341,MN
2020,Sep,25336,24136,1200,4.7,Beltrami,95.26365645721503,MN
2020,Oct,25237,24131,1106,4.4,Beltrami,95.61754566707612,MN
2020,Nov,24911,23743,1168,4.7,Beltrami,95.31130825739633,MN
2020,Dec,24502,23156,1346,5.5,Beltrami,94.50657089217206,MN
2021,Jan,24609,23193,1416,5.8,Beltrami,94.24600755821041,MN
2021,Feb,24594,23307,1287,5.2,Beltrami,94.7670163454501,MN
2021,Mar,24627,23330,1297,5.3,Beltrami,94.73342266617941,MN
2021,Apr,24656,23554,1102,4.5,Beltrami,95.53049967553537,MN
2021,May,24539,23600,939,3.8,Beltrami,96.17343820041566,MN
2021,Jun,24808,23745,1063,4.3,Beltrami,95.71509190583683,MN
2021,Jul,24746,23853,893,3.6,Beltrami,96.39133597349067,MN
2021,Aug,24704,23853,851,3.4,Beltrami,96.55521373056995,MN
2021,Sep,24588,23908,680,2.8,Beltrami,97.2344232959167,MN
2021,Oct,24410,23770,640,2.6,Beltrami,97.37812371978697,MN
2021,Nov,24410,23735,675,2.8,Beltrami,97.23473986071282,MN
2021,Dec,24652,23786,866,3.5,Beltrami,96.48710043809832,MN
2022,Jan,24741,23643,1098,4.4,Beltrami,95.56202255365588,MN
2022,Feb,24678,23690,988,4,Beltrami,95.99643407083232,MN
2022,Mar,24924,23969,955,3.8,Beltrami,96.1683517894399,MN
2022,Apr,24799,24005,794,3.2,Beltrami,96.79825799427397,MN
2022,May,24908,24211,697,2.8,Beltrami,97.20170226433275,MN
2022,Jun,25154,24394,760,3,Beltrami,96.97861175161007,MN
